Instruction,Input,Output
How do I Performing PG Electromigration Analysis,,"When analysis is complete, the tool saves the analysis results and logs in the working directory. For more information about the working directories, see Specifying RedHawk and RedHawk-SC Working Directories The analyze_rail command generates the following files to invoke the RedHawk tool for running rail analysis: The RedHawk run script (analyze_rail.tcl) The RedHawk GSR configuration file (*.gsr) The analyze_rail command generates the following file to invoke the RedHawk-SC tool for running rail analysis: The RedHawk-SC Python script (analyze_rail.py) The RedHawk or RedHawk-SC tool generates the following files in the in- design.redhawk/ design_name.result (or in-design.redhawk_sc/ design_name.result in RedHawk-SC flow) directory when rail analysis is complete: The RedHawk analysis log (analyze_rail.log.*) Timing window file (*.sta) Signal SPEF files (*.spef) DEF/LEF files (*.def, *.lef) for the full-chip analysis When voltage drop analysis is complete, the tool saves the analysis results (*.result) in the design_name directory under the working directory. The rail analysis results are used to display maps and query attributes to determine the problem areas with large voltage drops. To reload the rail results for displaying maps in the GUI, use the open_rail_result command. For example, fc_shell> open_rail_result REDHAWK_RESULT For more information about displaying maps, see Displaying Maps in the GUI To write out the rail analysis results, use the report_rail_result command. You must specify the result type with the -type option. For example, to write out the voltage drop values for the current block, set the -type option with the voltage_drop_or_rise argument. For more information, see Writing Analysis and Checking Reports To query the results stored in the current rail results cache, use the get_attribute commands. For more information, see Querying Attributes Note: RedHawk Fusion does not support results that are generated by the RedHawk tool outside of the Fusion Compiler environment. The RedHawk dump icc2_result command works only within the Fusion Compiler session."
How do I Viewing PG Electromigration Analysis Results,,"Note: PG electromigration analysis is supported in both RedHawk Fusion and RedHawk-SC Fusion analysis flows. To analyze the current density on PG nets and identify the segments with potential electromigration issues, run the analyze_rail -electromigration command. The analysis results are saved in the working directory. To perform electromigration analysis, 1. Set the rail.tech_file application option to specify the Apache technology file (*.tech) that defines the layer-by-layer current density limits. For example, fc_shell> set_app_options -name rail.tech_file \ -value design_data/tech/test.tech 2. Run the analyze_rail command with the following options: Use the -voltage_drop and -electromigration options to enable electromigration analysis. Use the -nets option to specify the power and ground supply nets to analyze. The tool considers all the switched or internal power nets of the specified power nets in the analysis. You do not need to explicitly specify the internal power nets. (Optional) By default, the analyze_rail command automatically generates a GSR file for running RedHawk rail analysis. To specify an external GSR file to append to the GSR file generated in the current run, use the -extra_gsr_option_file option. (Optional) To specify an existing RedHawk script file that was generated in an earlier analyze_rail run, use the -redhawk_script_file option. When using an existing script file for rail analysis, the tool honors the settings in this script file and ignores all other currently enabled options. For example, if you run the analyze_rail -voltage_drop static -redhawk_script_file myscript.tcl command, the tool ignores the -voltage_drop option. When the -redhawk_script_file option is not specified, you must specify the nets to analyze by using the -nets option. 3. Check the analysis results, as described in Viewing PG Electromigration Analysis Results"
How do I Displaying the PG Electromigration Map,,"When PG electromigration analysis is complete, you can check for current violations by displaying a PG electromigration map or checking the generated errors in the error browser. Displaying the PG Electromigration Map Checking PG Electromigration Violations"
How do I Checking PG Electromigration Violations,,"A PG electromigration map is a visual display of the color-coded electromigration values overlaid on the physical supply nets. For static analysis, the map displays average electromigration values. For dynamic analysis, the map displays average electromigration values, peak electromigration values, or root mean square electromigration values. shows an example of the electromigration map in which problem areas are highlighted in different colors. Use the options to investigate the problem areas by selecting layers or nets to display. For example, to examine the current value of one specific net, deselect all the nets and then select the net to display from the list. To analyze only the shapes on a layer, select the layer from the list. For a detailed procedure about how to display an electromigration map, see Displaying Maps in the GUI Displaying a PG Electromigration Map"
How do I Performing Minimum Path Resistance Analysis,,"When PG electromigration analysis is complete, you can check the generated error files in the error browser or write the generated errors to an output file. The tool does not write the generated errors to the working directory, meaning the error data is deleted if you exit the tool without saving the block. Ensure that you save the block to keep the generated error data if you want to examine the errors in another session. You can examine the generated error files in the error browser or write the generated errors to an output ASCII file. To examine the generated errors in the error browser, 1. Choose View > Error Browser from the GUI. 2. In the Open Error Data dialog box, select the errors to examine and click Open Selected. 3. Check the details of the errors in the Error Browser (see ). Opening Generated Errors in the Error Browser To write errors to an ASCII file, use the following script: set fileName ""errors.txt"" set fd [open $fileName w] set dm [open_drc_error_data rail_pg_em.VDD.err] set all_errs [get_drc_errors -error_data $dm *] foreach_in_collection err $all_errs { set info [ get_attribute $err error_info]; puts $fd $info } close $fd Here is an example of the output error file: M1 (414.000,546.584 414.344,546.584) em ratio 23585.9% width 0.06 blech length 0.000 um current 0.0024963 M1 (414.344,546.584 416.168,546.584) em ratio 23401.3% width 0.06 blech length 0.000 um current 0.0024768 M1 (416.168,546.584 416.776,546.584) em ratio 23241.7% width 0.06 blech length 0.000 um current 0.0024599 M1 (416.776,546.584 417.992,546.584) em ratio 23082.2% width 0.06 blech length 0.000 um current 0.0024430 M1 (417.992,546.584 419.208,546.584) em ratio 22897.7% width 0.06 blech length 0.000 um current 0.0024235 M1 (419.208,546.584 419.512,546.584) em ratio 22731.1% width 0.06 blech length 0.000 um current 0.0024059 M1 (419.512,546.584 421.184,546.584) em ratio 22564.4% width 0.06 blech length 0.000 um current 0.0023882 M1 (421.184,546.584 421.488,546.584) em ratio 22349% width 0.06 blech length 0.000 um current 0.0023654 M1 (421.488,546.584 423.160,546.584) em ratio 22133.5% width 0.06 blech length 0.000 um current 0.0023426 M1 (423.160,546.584 423.616,546.584) em ratio 21967.2% width 0.06 blech length 0.000 um current 0.0023250"
How do I Viewing Minimum Path Resistance Analysis Results,,"Note: Minimum path resistance analysis is supported in both RedHawk Fusion and RedHawk-SC Fusion analysis flows. Perform minimum path resistance analysis to quickly detect power and ground network weaknesses in the design. The minimum path resistance value of a node is the resistance value on the smallest resistive path to the ideal voltage source locations (taps). The ideal voltage sources can be power or ground pins, user-defined taps, or packages. Because this value represents only the resistance on a single path, it is not necessarily same as the effective resistance value from the node to the supply or ground; instead, it represents an upper bound on the effective resistance of a node to the supply or ground. To perform minimum path resistance analysis, run the analyze_rail -min_path_resistance command. You must specify the power and ground nets to analyze by using the -nets option. Note: In RedHawk-SC rail analysis flow, you must specify both the -voltage_drop and -min_path_resistance options for minimum path resistance calculation. You can perform minimum path resistance analysis before or during voltage drop analysis. When the analysis is completed, the tool writes the minimum path resistance values and the voltage drop results into the same rail result. The following example performs voltage drop analysis and minimum path resistance calculation at the same time. fc_shell> analyze_rail -nets {VDD VSS} \ -min_path_resistance -voltage_drop static The following example performs only minimum path resistance analysis. fc_shell> analyze_rail -nets {VDD VSS} -min_path_resistance"
How do I Tracing Minimum Path Resistance Using the Mouse Tool,,"When the analysis is complete, run the report_rail_result -type minimum_path_resistance command to display a minimum path resistance map, write the results to an output file, or query the attributes on the cell instances or pins. The following example writes the calculated minimum path resistances for the VDD net to an output file called minres.rpt. fc_shell> open_rail_result fc_shell> report_rail_result -type minimum_path_resistance \ -supply_nets { vdd } minres.rpt fc_shell> sh cat minres.rpt FEED0_14/vbp 518.668 INV61/vdd 158.268 ARCR0_1/vbp 145.582 FEED0_5/vdd 156.228 INV11/vbp 518.669 The output minres.rpt report includes the entire resistance information. fc_shell> sh cat minres.rpt FEED0_14/vbp 518.668 INV61/vdd 158.268 ARCR0_1/vbp 145.582 FEED0_5/vdd 156.228 INV11/vbp 518.669 To write out a detailed minimum resistance path report for a cell instance, run the report_rail_minimum_path command and specify the net and the cell to report. To see the segment-by-segment resistance of that minimum resistance path shown in the GUI, use the -error_cell option of the report_rail_minimum_path command to save the geometries on the path of the minimum path resistance to an error cell. You can then open the error cell in an error browser and check the minimum resistance path from the pin of the cell to the nearest tap and trace each go-through geometries. In the following example, all geometries on the minimum resistance path are traced and written to the error cell named test.err. fc_shell> open_rail_result fc_shell> report_rail_minimum_path -cell U19 -net VDD -error_cell Shown in, each geometry is classified by layer in the error browser. Click a geometry to check for detailed information, such as IR drop, resistance, bounding box, and so on. In the GUI, the traced path is highlighted in yellow in the design layout (see ). Displaying Error Cells in the Error Browser Traced Segment is Highlighted in the Design Layout See Also Displaying Maps in the GUI Writing Analysis and Checking Reports Querying Attributes"
How do I Performing Effective Resistance Analysis,,"Use the minimum path resistance (MPR) mouse tool to interactively trace the path with the least resistance from the specified power or ground net to the boundary nodes in the design. To trace the calculated minimum path resistance with the MPR interactive tracing tool, 1. In the GUI, choose Task > Rail and then select Analysis Tools from the task list to open the Task Assistant window (see ). 2. In the Task Assistant - Rail window that opens, click MPR Mouse Tool. 3. Specify the nets to analyze. Click OK. The MPR interactive mouse tool, which is shown in, provides the following features: Zoom in and out to review the traces Provide two operation modes: the Add mode to trace multiple paths in the map, and the Replace mode to trace one path at a time in the map Use the standard query tool to show tracing information Select a region to trace multiple cells at a time Document the interactive actions by scripts Invoking the MPR Mouse Tool Tracing the Path With the Least Resistance Click to hide all objects from showing in the map Then select Cell"
How do I Performing Distributed RedHawk Fusion Rail Analysis,,"Note: Effective resistance analysis is supported in both RedHawk Fusion and RedHawk-SC Fusion analysis flows. To calculate effective resistance for the specified power and ground nets, use the analyze_rail -effective_resistance command. To specify a list of cell instances for effective resistance calculation, describe the target instances in a text file. Then specify this text file with the rail.effective_resistance_instance_file application option. For example, fc_shell> sh cat cell_list.txt u_GS_PRO_65 u_GS_PRO_64 ChipTop_U_compressor_mode/U3 fc_shell> set_app_options \ -name rail.effective_resistance_instance_file \ -value cell_list.txt fc_shell> analyze_rail -nets {VDD VSS} -effective_resistance You can perform effective resistance analysis before or during voltage drop analysis. When the analysis is completed, the tool writes the effective resistance values into the same rail result with the voltage drop results. Note: In the RedHawk-SC rail analysis flow, you must specify both the -effective_resistance and -voltage_drop options for effective resistance calculation. When the calculation is complete, the tool saves the results in the working directory. To write the effective resistance values to a text file, use the report_rail_result -type effective_resistance command. To query the resistance value, use the get_attribute command. For example, fc_shell> get_attribute [get_pins u_GS_PRO_65/VDD] \ effective_resistance See Also Specifying RedHawk and RedHawk-SC Working Directories Writing Analysis and Checking Reports"
How do I Voltage Driven Power Switch Cell Sizing,,"Note: The distributed rail analysis feature is supported only in the RedHawk Fusion analysis flow. By default, the analyze_rail command uses a single process to perform RedHawk rail analysis. To reduce memory usage and total runtime, use the distributed processing method to run RedHawk Fusion on a machine other than the one on which the Fusion Compiler tool is run. You can submit multiple RedHawk jobs to the target farm machines and run the jobs in parallel in the same Fusion Compiler session. This allows you to run multiple RedHawk analyses with only one Fusion Compiler license. Each of the RedHawk jobs requires one SNPS_INDESIGN_RH_RAIL license key. To examine the generated analysis result, first run the open_rail_result command to load the result that is saved in the directory you specify. You can then investigate the problematic areas in the map and check for violations in a text file or in an error view. You can open one result context at a time. To load the rail context generated in another analysis run, first close the current rail result using the close_rail_result command, and then open the desired rail result (see Displaying Maps in the GUI ). License Requirement By default, the number of required licenses is the number of script files or configurations specified with the -multiple_script_files option during distributed processing mode. If the number of available licenses is less than the number of script files at the time when the analyze_rail command is run, the command stops with an error message. To check for available SNPS_INDESIGN_RH_RAIL licenses continuously during the analyze_rail run, set the rail.license_checkout_mode application option to wait. If the tool detects that a license becomes available, the tool reuses or checks out the license and submits a script to a farm machine immediately. By default, the rail.license_checkout_mode application option is set to nowait When the analysis is finished, run the remove_licenses command to release the SNPS_INDESIGN_RH_RAIL licenses. fc_shell> remove_licenses SNPS_INDESIGN_RH_RAIL In, the rail.license_checkout_mode application option is set to wait. There are six scripts to submit to the farm machines with only two available SNPS_INDESIGN_RH_RAIL licenses. In this case, the tool first checks out two licenses and waits for other licenses to become available. When a script finishes the job, the tool reuses its license immediately to submit other scripts. Waiting for Available Licenses During Distributed RedHawk Fusion Run Invoke analyze_rail Check the number of available licenses Script 1 Script 2 license 1 license 2 Script 3 Script 4 Script 5 Script 6 Set rail.license_checkout_mode to wait The tool first submits two scripts to the farm machines, because there are only two licenses available.... The tool checks for available licenses during the analyze_rail run. When a license becomes available, the tool reuses it. Steps to Enable Distributed Processing To enable distributed processing for RedHawk Fusion, 1. Define the distributed processing configuration by using the set_host_options command. You can specify one or more of the following options: Option Description -submit_protocol rsh -target -timeout Option Description -submit_command -max_cores 2. Run the analyze_rail command with the following options: Option Description -submit_to_other_machines -multiple_script_files\ directory_name script_name Example 51 %> rsh myMachine ls test1 CSHRC DESKTOP > set_host_options ""myMachine"" -target RedHawk \ -max_cores 2 -timeout 100 > analyze_rail -submit_to_other_machines \ -voltage_drop static -nets {VDD VDDG VDDX VDDY VSS} The above example first checks if the machine myMachine supports the rsh protocol, and then enables job submission to the myMachine machine for RedHawk Fusion only. Timeout value is 100 and the number of cores to use is 2. Example 52 > set_host_options -submit_protocol sge \ -submit_command { qsub -P normal } > analyze_rail -submit_to_other_machines -voltage_drop \ static -nets {VDD VSS} The above example enables job submission to a machine on the SGE farm machine. Example 53 > set_host_options -submit_protocol lsf \ -submit_command {bsub} > analyze_rail -submit_to_other_machines \ -multiple_script_files {{result1 RH1.tcl} {result2 RH2.tcl}} > open_rail_result result1 > close_rail_result > open_rail_result result2 The above example submits two RedHawk jobs with two RedHawk scripts to the LSF farm machines and specifies the directories for saving the analysis results as result1 and result2. Example 54 > set_app_options -name rail.license_checkout_mode \ -value wait > set_host_options -submit_protocol sge \ -submit_command {qsub} > analyze_rail -submit_to_other_machines \ -multiple_script_files {{ result1 RH1.tcl} {result2 RH2.tcl} \ {result3 RH3.tcl}} The above example submits three RedHawk scripts to the SGE farm machines and waits for an available license during the analyze_rail run."
How do I Working With Macro Models,,"The Fusion Compiler tool can resize power switch cells to reduce total power and to mitigate the voltage drop in the design. Power switch cells have different voltage thresholds (V ) and are classified as high, standard, low, and ultra-low. For a power cell with high threshold voltage, the power consumption and leakage current is low, but the timing is also slow with a smaller drive strength. For a power cell with a low threshold voltage, the timing is faster but the power consumption and leakage current is high. With power switch cell sizing, the tool supports different drive strength and voltage threshold to reduce IR (voltage) drop in the design. Note: When the tool switches power cells (swapping), it can only swap cells with the same footprint but with different threshold voltages. This means, the cell cannot be swapped if the cell size and pin shapes are different. To perform power switch cell swapping, you can use the size_power_switches command to set the maximum IR drop target. To meet this target when swapping power cells, the tool tries to find another cell with higher V, but lower R ON value, so that it can reduce the IR drop. You can set the ON resistance (R ON ) value to be considered by the tool for swapping using the set_power_switch_resistance command. Based on the IR drop target and the set R ON value of the power cell, the tool tries to replace power cells to meet the targeted voltage drop. Note: If the tool does not find any suitable power cell that matches the targeted voltage drop and R ON value, it skips cell resizing. To perform voltage driven cell sizing, 1. Perform a voltage drop analysis using RH Fusion to get the maximum voltage drop of the cells driven by the power switch in question. Refer Performing Voltage Drop Analysis for more information. 2. Set the RON value limit to be considered for cell switching using the set_power_switch_resistance command. Provide the following values as input, Lib cell name - specifies the name of the library cell. On resistance value - specifies the RON value limit to be considered for cell sizing. You can get this information from the switch model files. For example, fc_shell> set_power_switch_resistance saed32hvt_pg_ss0p_v125c/HEAD2X2_HVT 0.015 3. Run the size_power_switches command to perform cell size switching. Provide the value for -max_irdrop option which specifies the allowed maximum effective voltage drop on supply nets for standard cells driven by switches. This is a mandatory input. For example, fc_shell> size_power_switches -max_irdop 0.05 For the other non-mandatory inputs to further refine the command action, see the man page for the size_power_switches command. The tool also provides the following commands to further help with power switch resistance: get_power_switch_resistance - This command fetches the R ON value of a power switch cell. reset_power_switch_resistance - This command resets the R ON value specified for a power switch cell. report_power_switch_resistance - This command reports all power switch library cells with a set R ON. Use the -verbose option with the command to display the group of cells with the same footprint, the R on value and the number of cells instantiated in the design. When using the -verbose option, you can also use -same_vt option to report power switch cells and their R ON value from current library with same VT but different driving strength cells."
How do I Generating Macro Models,,"Memory and macro cells are used in designs with advanced process technologies to reduce memory usage and improve the rail analysis performance. Macro models are supported in both RedHawk Fusion and RedHawk-SC Fusion analysis flows. To learn about working with macro models, see the following topics: Generating Macro Models Creating Block Contexts"
How do I Creating Block Contexts,,"To consider current and power distribution inside the memory blocks when analyzing hierarchical designs, use the exec_gds2rh command to generate RedHawk macro models for memory blocks. The command invokes the RedHawk gds2rh utility under the hood and extracts power grids and current sources from the memory blocks with varying levels of abstraction―from fully detailed models for accurate block-level analysis to abstract models for full-chip dynamic analysis. Note: To create RedHawk macro models using the RedHawk gds2rh utility, you must specify the path to the RedHawk executable with the rail.redhawk_path application option before running the exec_gds2rh command. The generated macro models are saved in the current working directory or the one you specify in the configuration file. To run rail analysis with the generated macro models, set the rail.macro_models -value { cell1 path1 application option before running the analyze_rail command. For more information about how to run the RedHawk gds2rh utility, see the RedHawk User Manual Required Configuration File To generate a RedHawk macro model using the gds2rh utility, you must provide a configuration file that includes the following information: GDS II files Top design name Layer mapping file Power and ground net names Specify one configuration file per memory. Make sure the configuration file contains the correct syntax for macro model generation. Otherwise, the tool issues an error message and terminates the model generation process. The following is an example of the configuration file: LEF_FILE {./lef/saed32sram.lef GDS_FILE./gds/SRAMLP2RW128x16.gds GDS_MAP_FILE./redhawk.gdslayermap OUTPUT_DIRECTORY SRAMLP2RW128x16_output USE_LEF_PINS_FOR_TRACING 1 VDD_NETS { VDD GND_NETS { VSS TOP_CELL SRAMLP2RW128x16 Examples The following example generates RedHawk macro models for the SRAMLP2RW128x16, SRAMLP2RW32x4, SRAMLP2RW64x32 and SRAMLP2RW64x8 memories: ## Specify the path to the RedHawk executable ## set_app_options -name rail.redhawk_path -value $env(REDHAWK_IMAGE)/bin ## Specify one configuration file per memory ## exec_gds2rh -config_file SRAMLP2RW128x16.config exec_gds2rh -config_file SRAMLP2RW32x4.config exec_gds2rh -config_file SRAMLP2RW64x32.config exec_gds2rh -config_file SRAMLP2RW64x8.config The following example runs top-level rail analysis with the macro models that are generated in the previous example: ## Run rail analysis at top level ## open_lib open_block top link_block ## Specify rail analysis setting ## create_taps set_app_options -name rail.tech_file -value test.tech set_app_options -name rail.lib_files -value test.lib ## Set macro model file ## set_app_options -name rail.macro_models \ -value { SRAMLP2RW128x16./data_ SRAMLP2RW128x16 SRAMLP2RW32x4./data_SRAMLP2RW32x4 SRAMLP2RW64x32./data_SRAMLP2RW64x32 SRAMLP2RW64x8./data_ SRAMLP2RW64x8 ## Run rail analysis ## analyze_rail -voltage_drop static -all_nets ## Check rail results ## open_rail_result gui_start"
How do I Performing Signoff Analysis,,"Macro models are used to reduce total turnaround time for designs with advanced process technology. When violations are reported in the macros during full-chip signoff voltage drop analysis, it might be time-consuming to fix the violations at the block level and then rerun full-chip analysis to verify the fix. To reduce the turnaround time, you can create a context model for the macro block. A context model depicts the relationship between the block and the full-chip design, including both physical and electrical information, and enables you to verify the fixes by running block-level analysis rather than full-chip analysis. To create a context model, use the create_context_for_sub_block command. To run voltage drop analysis with the generated block contexts, set the rail.pad_files and rail.block_context_model_file application options before running the analyze_rail command. Note: Creating full-chip contexts for blocks is supported only in RedHawk Fusion. The following figure shows that a fix in the block can effectively improve the performance of the top design. Fixing Violations in Block Contexts Content of Block Contexts The create_context_for_sub_block command models the full-chip context of a block, including physical models and electrical models. Physical model, which describes the locations of the connections between the block and full-chip design. These tap locations are derived by tracing the RedHawk parasitics data. The physical model is generated when the create_context_for_sub_block command process is complete, in the.ploc format. Electrical model, which is an effective resistance- and capacitance-based model. The tool uses the native resistance engine to calculate the effective resistance, which is used to calculate equivalent current during peak dynamic voltage drop analysis. By default, the tool models the full-chip context for the specified block. The capacitance data is derived by the RedHawk extraction engine. To create an electrical model for the specified block, specify the -electric_model_file option with the create_context_for_sub_block command. The electrical model is written in the.context format. Examples The following example creates a block context for the top/cell_inst_1 block. The generated physical and electrical models are block.ploc and block.context, respectively. ##Create block context in top block ## open_block top create_context_for_sub_block \ -block_instance top/cell_inst_1 block.ploc \ -nets {VDD_TOP VSS_TOP} \ -electric_model_file block.context close_block ##Run IR analysis with block context information in block-level design ## open_block block set_app_options -name rail.pad_files -value block.ploc set_app_options -name rail.block_context_model_file \ -value block.context analyze_rail -nets {VDD_BLOCK VSS_BLOCK} \ -voltage_drop static -extra_gsr_option_file extra.gsr... The following example creates only a physical model for the top/cell_inst_1 block. ##Create block context in top block ## open_block top create_context_for_sub_block \ -block_instance top/cell_inst_1 block.ploc \ -nets {VDD_TOP VSS_TOP} close_block ##Run IR analysis with block context information in block-level design ## open_block block set_app_options -name rail.pad_files -value block.ploc analyze_rail -nets {VDD_BLOCK VSS_BLOCK} \ -voltage_drop static -extra_gsr_option_file extra.gsr..."
How do I Writing Analysis and Checking Reports,,"RedHawk Fusion or RedHawk-SC Fusion does not support RedHawk signoff analysis capabilities, such as signal electromigration or inrush current analysis. If you have the RedHawk signoff licenses, you can enable the following RedHawk signoff analysis features in the Fusion Compiler environment by using the rail.allow_redhawk_license_checkout application option. Signoff analysis features not included in the following list can only be run with the RedHawk standalone tool. Dynamic analysis with custom macro models Dynamic analysis with package models Analysis with RTL-level VCD files To perform RedHawk signoff analysis, 1. Modify your GSR file or RedHawk run script to include the related configuration settings. 2. Set the following application option to enable the RedHawk signoff features: fc_shell> set_app_options \ -name rail.allow_redhawk_license_checkout -value true Setting the rail.allow_redhawk_license_checkout application option to true allows the RedHawk tool to retrieve the related RedHawk licenses for performing signoff features inside the Fusion Compiler tool. The default is off 3. Run the analyze_rail command with the -extra_gsr_option_file or -redhawk_script_file option to perform the analysis defined in the GSR or RedHawk script file. Specify other settings as necessary. Note: You cannot display the RedHawk signoff analysis results in the Fusion Compiler GUI. 4. Proceed to other steps in the analysis flow. See Also An Overview for RedHawk Fusion and RedHawk-SC Fusion"
How do I Displaying Block-Level Rail Results,,"When the checking or analysis is complete, run the report_rail_result command to write the analysis or checking results to a text file. The power unit in the report file is watts, the current unit is amperes, and the voltage unit is volts. To display block-level rail results from top-level RAIL_DATABASE for debugging purposes, use the -top_design and -block_instance options. For more information, see Displaying Block-Level Rail Results To write rail results for the cells or geometries in the hotspot area only, use the get_instance_result and get_geometry_result commands. For more information, see Generating Instance-Based Analysis Reports and Generating Geometry-Based Analysis Reports To specify the data or error types to report, use the -type option. Table 69 lists the supported data and error types. To limit the number of the elements to report, use the -limit option. Set the value to zero to write all elements to the output file in descending order. To filter the data to write to the report file, use the -threshold option. The tool writes the data greater than the specified threshold to the output file. The option is valid only for the following data types: pg_pin_power voltage_drop_or_rise effective_voltage_drop To restrict the report to the specified supply nets, use the -supply_nets option. This option is valid only for the following data types: effective_voltage_drop instance_minimum_path_resistance minimum_path_resistance pg_pin_power voltage_drop_or_rise Table 69 Supported Data and Error Types for report_rail_result Type Description effective_voltage_drop effective_resistance instance_minimum_path_resistance instance_power minimum_path_resistance missing_vias pg_pin_power unconnected_instances Table 69 Supported Data and Error Types for report_rail_result (Continued) Type Description voltage_drop_or_rise In the output report file, the tool lists the data in different formats. For example: For the effective_voltage_drop type, When reporting the static analysis results, the format is cell_instance_pg_pin_name mapped_pg_pin_name supply_net_name effective_voltage_drop When reporting the dynamic analysis results, the format is cell_instance_pg_pin_name mapped_pg_pin_name supply_net_name average_effective_voltage_drop_in_tw max_effective_voltage_drop_in_tw min_effective_voltage_drop_in_tw max_effective_voltage_drop For the instance_minimum_path_resistance type, the result is sorted by the Total_R value in the following format: Supply_net Total_R(ohm) R_to_power(ohm) R_to_ground(ohm) Location Pin_name Instance_name For the minimum_path_resistance type, the format is full_path_cell_instance_name/pg_pin_name resistance For the missing_vias type, the format is net_name via_location_x_y top_metal_layer bottom_via_layer delta_voltage For the pg_pin_power type, the format is full_path_cell_instance_name pg_pin_name power For the voltage_drop_or_rise type, the format is full_path_cell_instance_name/pg_pin_name voltage For the unconnected_instances error type, the format depends on the error condition. When either or both of power and ground nets are physically disconnected from ideal voltage sources, the format is unconnected_type {net_names} instance_name instance bbox When the power or ground nets are either floating or logically floating but physically connected to ideal voltage sources, the format is unconnected_type {net_names} instance_name:pin_name instance bbox The following example writes a file containing the top five PG pin power values to an output file called power.rpt. fc_shell> open_rail_result fc_shell> report_rail_result -type pg_pin_power -limit 5 \ -supply_nets { VSS } power.rpt fc_shell> sh cat power.rpt FI2/vss 4.81004e-06 FI6/vss 4.80959e-06 FI3/vss 4.79702e-06 FI4/vss 4.79684e-06 FI1/vss 4.79594e-06... The following example writes the calculated effective voltage drop values for the VDD and VSS nets to an output file called inst_effvd.rpt. fc_shell> open_rail_result fc_shell> report_rail_result -type effective_voltage_drop \ -supply_nets { VDD VSS } inst_effvd.rpt fc_shell> sh cat inst_effvd.rpt #cell_instance_pg_pin_name mapped_pg_pin_name supply_net_name #average_effective_voltage_drop_in_tw #max_effective_voltage_drop_in_tw min_effective_voltage_drop_in_tw #max_effective_voltage_drop S32_reg_14_/VDD VSS VDD -7.750034332e-03 -1.017999649e-02 -5.850076675e-03 -1.029992104e-02 S32_reg_15_/VDD VSS VDD -7.709980011e-03 -1.013994217e-02 -5.810022354e-03 -1.026010513e-02 S46_reg_8_/VDD VSS VDD -7.179975510e-03 -9.490013123e-03 -5.330085754e-03 -1.021003723e-02... The following example writes the minimum path resistance values of cell instances to an output file called inst_minres.rpt. fc_shell> open_rail_result fc_shell> report_rail_result -type instance_minimum_path_resistance \ -supply_nets { VDD VSS } inst_minres.rpt fc_shell> sh cat inst_minres.rpt Rmax(ohm) = 162.738 Rmin(ohm) = 4.418 ====================================================================== Supply_net Total_R(ohm) R_to_power(ohm) R_to_ground(ohm) Location Pin_name Instance_name ====================================================================== VDD 162.738 152.686 10.052 586.000, 496.235 VDDL dataout_44_u VSS 156.266 137.963 18.303 544.000, 613.235 VSS GPRs/U2317 VDD 156.266 137.963 18.303 544.000, 613.235 TVDD GPRs/U2317 VDD 152.690 135.223 17.467 602.400, 467.435 VDDL dataout_33_u"
How do I Generating Instance-Based Analysis Reports,,"After you perform rail analysis on the top-level design, the tool saves the analysis results in the top-level rail database. To locate issues that are reported in a block-level design, run the open_rail_result command with the -top_design and -block_instance options to excerpt block-level instance data from the top-level rail database. The tool then displays maps for the specified block instances based on the extracted block-level rail analysis data. Note: The excerpt of the block-level rail results is saved in memory and is deleted when you exit the current session. The following example opens the rail result named REDHAWK_RESULT in the./ RAIL_DATABASE directory; the result is the rail analysis result for the top design named bit_coin. The example then creates an excerpt of rail analysis data for the block instance slice_5. Note that in this example, the block design of instance slice_5 has to be opened, not the top-level design. fc_shell> open_lib block.nlib fc_shell> open_block block fc_shell> set_app_options -name rail.database -value RAIL_DATABASE fc_shell> open_rail_result REDHAWK_RESULT \ -top_design bit_coin \ -block_instance slice_5 fc_shell> report_rail_result"
How do I Generating Geometry-Based Analysis Reports,,"Use the get_instance_result command to write the cell instances with rail data to an output text file, in the units defined with the report_units command. To specify which analysis or checking types to report, use the -type option. The supported analysis types are: effective_voltage_drop current effective_resistance min_path_resistance, and power Here are commonly used options of the get_instance_result command: Option Description -net -touching {{ x1 y1 } { x2 y2 }} -top value -threshold -percentage voltage_drop -histogram -collection Example The following example reports instance voltage drop results within the specified area: fc_shell> get_instance_result -net VDD -type voltage_drop \ -touching {{1610 1968} {1620 1969}} Isw2/Isw2_pktpro/U179070 -0.053533 Isw2/Isw2_pktpro/U64076 -0.0535949 Isw2/Isw2_pktpro/U83035 -0.0535949 Isw2/Isw2_pktpro/U181017 -0.0535949 Isw2/Isw2_pktpro/U103335 -0.05366 Isw2/Isw2_pktpro/U181049 -0.05366 Isw2/Isw2_pktpro/U98988 -0.05366 Isw2/Isw2_pktpro/U201986 -0.053713 Isw2/Isw2_pktpro/U181064 -0.053719 Isw2/Isw2_pktpro/U79791 -0.053809 Isw2/Isw2_pktpro/U179052 -0.054007 Isw2/Isw2_pktpro/U4120 -0.054073 Isw2/Isw2_pktpro/U20408 -0.054287 See Also Voltage Hotspot Analysis"
